PROCESSED TRAINING DATA: FORMAT = X, Y, Z, Angle, Axis X, Axis Y, Axis Z
417.31, -310.324, 3903.77, 1.3824720970970095, 0.675831464902834, -0.7118963276570631, -0.19093310272364228
368.311, -135.348, 3769.45, 1.563742181086869, 0.31278811284405084, -0.8422811234225296, -0.4390058149837413
345.927, -77.9434, 3698.71, 2.7116222770287184, 0.7285217540586071, -0.07648121685296061, -0.6807398014895711
348.489, -35.5118, 3795.01, 2.7116222770287184, 0.7285217540586071, -0.07648121685296061, -0.6807398014895711
295.962, -50.1168, 3834.48, 1.2819977912592024, 0.7480980413562561, 0.6420823682342458, -0.167569546522141
158.421, -622.348, 3899.84, 2.8144539721120827, -0.5877458020252652, -0.8027961369509176, 0.1003655055203797
39.6059, -578.051, 3918.17, 2.0359929461182458, -0.37257175418541744, -0.8307052908745366, 0.41366533296404306
-15.4541, -350.157, 4060.59, 2.185906526925876, -0.4571137401570691, -0.71237138966347, 0.5325166962157637
-45.1642, -127.836, 4105.88, 2.3565204074255948, -0.8348530999742092, 0.11988412415505066, -0.5372598051585746
-74.4576, -60.9753, 4175.7, 1.5077478271283093, -0.6692186732927013, 0.5167339013523344, -0.5339779419690972
-40.293, 34.8865, 4156.98, 1.5077478271283093, -0.6692186732927013, 0.5167339013523344, -0.5339779419690972
-22.5451, -16.3239, 4146.76, 0.985212056982359, -0.740350249760632, -0.666746372778383, -0.08561998637140192
263.824, -149.735, 4036.43, 2.2568914710520263, -0.6750886451590097, 0.42456637038592565, -0.6033230629726446
248.644, 217.184, 4167.8, 2.4174988474845533, -0.7012390061300652, 0.3397509293691193, -0.6267640403489485
225.536, 529.17, 4370.45, 2.3532831433326247, -0.6664177478517925, 0.41427162387545585, -0.6198922543472676
225.23, 689.516, 4283.27, 2.819275145822353, 0.7203140564673117, 0.1347217671000552, 0.6804393474256503
97.219, -151.373, 4008.49, 2.1946256447462766, 0.6093318651360359, 0.5307338793531224, 0.5890978080392294
110.618, 234.278, 3954.78, 2.15171486937691, 0.5974593371122451, 0.5577092451274795, 0.5761967879090734
123.646, 609.87, 3929.56, 2.2763285255327017, 0.5632583709911176, 0.559861393078878, 0.607696657920883
109.32, 691.497, 3783.51, 1.7175354569564134, 0.08977142853404839, 0.9949854675935349, 0.04410226634347542
187.963, -730.596, 3859.63, 2.16751949571568, -0.501417042355047, 0.543393975160607, -0.673278499133212
152.554, -764.489, 3710.95, 2.16751949571568, -0.501417042355047, 0.543393975160607, -0.673278499133212
177.471, -803.303, 3740.04, 3.1063846314928054, -0.6443609078458412, -0.08117568625073192, -0.7604008997902397
254.268, -804.773, 3836.76, 2.223453746668972, 0.5220605208825296, 0.6637091026902006, 0.5356706446521319
128.248, -791.555, 3745.84, 3.1063846314928054, -0.6443609078458412, -0.08117568625073192, -0.7604008997902397
97.9542, -779.507, 3869.26, 1.956460516966504, 0.501417042355047, -0.543393975160607, 0.673278499133212
175.081, -145.64, 3996.31, 2.234222280614763, -0.6954332121423739, 0.4204293516725467, -0.5827622222669742
186.376, -310.957, 3942.32, 2.171157058728998, -0.6832559560536005, 0.4538357464777279, -0.5720091028439004
193.746, -446.108, 3909.29, 2.2716199085725184, -0.5765398767571814, 0.5184966405847714, -0.6314768437647736
191.491, -653.963, 3867.23, 2.366080544484524, -0.5994643419591161, 0.4566767663310534, -0.6573346437035981
224.723, -619.81, 3871.89, 2.8427357595774865, 0.8089110947899852, -0.5691442547852951, -0.14743696270121165
352.24, -563.635, 3881.06, 1.9476934951684601, 0.8282628935209715, -0.432219749384758, -0.35660435703738236
404.628, -298.822, 3881.65, 1.4043314864235734, 0.6965291452721575, -0.6767651816752013, -0.2384031011932724
356.342, -112.695, 3761.82, 1.5254849331161526, 0.30400774292885563, -0.8211875255739939, -0.48293927162839423
327.618, -55.0366, 3693.28, 2.538862388290994, 0.7245050826926327, -0.10736682086846518, -0.6808558958613343
325.332, 2.38848, 3781.81, 2.538862388290994, 0.7245050826926327, -0.10736682086846518, -0.6808558958613343
287.726, -26.9669, 3830.72, 1.3316149653127638, 0.7380303070086809, 0.6651479584997108, -0.11353175432600039
159.312, -619.834, 3878.45, 2.809458077101683, -0.5939422735194468, -0.7996665644854637, 0.08812469217288706
39.8079, -577.343, 3898.87, 2.0415417902939237, -0.399906686996961, -0.8173345478112533, 0.4147756967919995
-16.1608, -343.775, 4032.91, 2.209464018520547, -0.48473260212831476, -0.6917536193953883, 0.5352674420206157
-48.0103, -118.884, 4065.32, 2.36493974198668, -0.8080102004205322, 0.1079270127154646, -0.5791988224631395
-69.7082, -54.3605, 4140.31, 1.6542245072339483, -0.6715947623420285, 0.45174897506262224, -0.5872676891542942
-39.5899, 44.895, 4137.94, 1.6542245072339483, -0.6715947623420285, 0.45174897506262224, -0.5872676891542942
-20.6984, -6.15914, 4106.62, 0.9347237443549524, -0.7619225598760797, -0.640330931825439, -0.09721270749982552
262.914, -144.457, 4011.06, 2.265645962944081, -0.6732278970736018, 0.42295103925328803, -0.6065283315694492
248.502, 222.334, 4145.94, 2.4290780262228235, -0.6996488602871401, 0.3363253023858289, -0.6303782699887318
226.586, 532.476, 4353.33, 2.3718106166682738, -0.6652072015956376, 0.40919079383973783, -0.624549656298125
224.913, 694.943, 4269.12, 2.8052800617955396, 0.7159177393886906, 0.14190247890144397, 0.6836120807228412
95.8782, -146.707, 3983.01, 2.2005972153519733, 0.6170745930036133, 0.5281177973055097, 0.583361413566754
114.722, 239.341, 3926.28, 2.1344373302730255, 0.5989360589462872, 0.5690420611549081, 0.5634418602930238
132.543, 616.336, 3912.41, 2.289185240969542, 0.5438192387848217, 0.5841282185718026, 0.6025403387289759
114.155, 703.844, 3769.74, 1.7584871641023578, 0.07850551120199331, 0.9967325816068682, 0.01900119665235861
189.371, -728.51, 3838.84, 2.151561541260005, -0.4326806916938601, 0.5527076442654538, -0.7122511347873411
135.923, -765.02, 3695.84, 2.151561541260005, -0.4326806916938601, 0.5527076442654538, -0.7122511347873411
160.366, -804.844, 3724.23, 3.008129398684009, -0.6064829689111751, -0.09949366269290215, -0.788846892308411
